run,model,path,peak_iteration,peak_step,peak_triplet,final_fe,early_triplets,stats_file,loss,nll,variance_scaler
GP_Ph_F36,GP_Ph_F,GP_Ph_F/GP_Ph_F36,8,6,27,0.2452333333333333,17 6 25,stats_18.csv,-1.8582383394241333,,
GP_Ph_F4,GP_Ph_F,GP_Ph_F/GP_Ph_F4,8,6,27,0.2452333333333333,9 11 3,stats_19.csv,-1.4344202280044556,,
GP_Ph_F55,GP_Ph_F,GP_Ph_F/GP_Ph_F55,8,6,27,0.2452333333333333,28 4 7,stats_16.csv,-1.6069998741149902,,
GP_Ph_F59,GP_Ph_F,GP_Ph_F/GP_Ph_F59,8,6,27,0.2452333333333333,15 20 11,stats_24.csv,-1.4102330207824707,,
GP_Ph_F63,GP_Ph_F,GP_Ph_F/GP_Ph_F63,8,6,27,0.2452333333333333,2 6 15,stats_20.csv,-1.4321162700653076,,
GP_Ph_F68,GP_Ph_F,GP_Ph_F/GP_Ph_F68,8,6,27,0.2452333333333333,15 5 29,stats_18.csv,-1.462676167488098,,
GP_Ph_F69,GP_Ph_F,GP_Ph_F/GP_Ph_F69,8,6,27,0.2452333333333333,16 6 19,stats_17.csv,-1.488751769065857,,
GP_Ph_F78,GP_Ph_F,GP_Ph_F/GP_Ph_F78,8,6,27,0.2452333333333333,17 12 5,stats_20.csv,-1.6274316310882568,,
GP_Ph_F89,GP_Ph_F,GP_Ph_F/GP_Ph_F89,8,6,27,0.2452333333333333,4 17 1,stats_14.csv,-1.472407579421997,,
GP_Ph_F9,GP_Ph_F,GP_Ph_F/GP_Ph_F9,8,6,27,0.2452333333333333,12 13 20,stats_21.csv,-1.735026717185974,,
GP_Ph_F93,GP_Ph_F,GP_Ph_F/GP_Ph_F93,8,6,27,0.2452333333333333,13 6 28,stats_15.csv,-1.490544319152832,,
GP_Ph_F95,GP_Ph_F,GP_Ph_F/GP_Ph_F95,8,6,27,0.2452333333333333,6 21 13,stats_18.csv,-1.846844792366028,,
GP_Ph_F0,GP_Ph_F,GP_Ph_F/GP_Ph_F0,9,7,27,0.2452333333333333,28 6 12,stats_18.csv,-1.9353526830673216,,
GP_Ph_F17,GP_Ph_F,GP_Ph_F/GP_Ph_F17,9,7,27,0.2452333333333333,22 26 13,stats_16.csv,-1.529909372329712,,
GP_Ph_F18,GP_Ph_F,GP_Ph_F/GP_Ph_F18,9,7,27,0.2452333333333333,22 17 11,stats_22.csv,-1.6460057497024536,,
GP_Ph_F28,GP_Ph_F,GP_Ph_F/GP_Ph_F28,9,7,27,0.2452333333333333,22 29 17,stats_19.csv,-1.643016695976257,,
GP_Ph_F34,GP_Ph_F,GP_Ph_F/GP_Ph_F34,9,7,27,0.2452333333333333,14 6 19,stats_19.csv,-1.424523115158081,,
